nama_sekolah;npsn;nss;npwp;alamat;desa;kecamatan;kabupaten;provinsi;tahun_berdiri;nomor_sk_pendirian;tgl_sk_pendirian;status_sekolah;nama_penyelenggara_yayasan;alamat_penyelenggara_yayasan;sk_pendirian_yayasan;gedung_sekolah;akreditasi_sekolah;status_tanah_sekolah;luas_tanah_sekolah;email_sekolah;created_at;updated_at
KB. Al Fatihah Bintuni;69940407;;;;;;;;;;;;;;;;;;;;;
SD INPRES SP I MANIMERI;60401902;;;;;;;;;;;;;;;;;;;;;
KB PERTIWI BARMA BARU;70007583;;;;;;;;;;;;;;;;;;;;;
SMAN 1 BINTUNI;60401961;;;;;;;;;;;;;;;;;;;;;
SD INPRES MESYETA;60401894;;;;;;;;;;;;;;;;;;;;;
KB SANTA ANGELA;69992931;;;;;;;;;;;;;;;;;;;;;
SMA NEGERI MAYERGA;69879197;;;;;;;;;;;;;;;;;;;;;
SMP YPPK SANTA MONIKA;60401953;;;;;;;;;;;;;;;;;;;;;
TK NEGERI MENDARIO;69990817;;;;;;;;;;;;;;;;;;;;;
SD NEGERI AWEGRO;60725742;;;;;;;;;;;;;;;;;;;;;
SMPN WIMRO;60403742;;;;;;;;;;;;;;;;;;;;;
SD YPPK FRUATA;60401926;;;;;;;;;;;;;;;;;;;;;
SD INPRES MANIMERI II;60401904;;;;;;;;;;;;;;;;;;;;;
TK YPK SION TEMBUNI;70003810;;;;;;;;;;;;;;;;;;;;;
SD INPRES VARITA DUA SP.I;60401901;;;;;;;;;;;;;;;;;;;;;
TK KARTINI II WERIAGAR;70003715;;;;;;;;;;;;;;;;;;;;;
KB CERIA VASCODAMNEEM;70005247;;;;;;;;;;;;;;;;;;;;;
SD INPRES HTI 01 ARANDAY;60401880;;;;;;;;;;;;;;;;;;;;;
TK AISYIYAH BUSTANUL ATHFAL;60403667;;;;;;;;;;;;;;;;;;;;;
TK SANTA THERESIA SAENGGA;69988833;;;;;;;;;;;;;;;;;;;;;
KB Herlina 4 Beimes;69940702;;;;;;;;;;;;;;;;;;;;;
TK KANAISI NITAT;70007579;;;;;;;;;;;;;;;;;;;;;
SD NEGERI YAKORA;70000400;;;;;;;;;;;;;;;;;;;;;
TK YAPIS BINTUNI;60403697;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI MERDEY;60401958;;;;;;;;;;;;;;;;;;;;;
SD YPPK WERIAGAR;60401935;;;;;;;;;;;;;;;;;;;;;
SD NEGERI MOCU INOFINA;69991405;;;;;;;;;;;;;;;;;;;;;
SD YPPK MOGOI BARU;60401929;;;;;;;;;;;;;;;;;;;;;
SMA Negeri Tembuni;69935461;;;;;;;;;;;;;;;;;;;;;
SMP PERINTIS STENGKOL I;60401947;;;;;;;;;;;;;;;;;;;;;
SD YPK VIADOLOROSA;60401916;;;;;;;;;;;;;;;;;;;;;
TK YPK EFATA KORANO JAYA SP 2;69939737;;;;;;;;;;;;;;;;;;;;;
TK AL KHAIRAT;60403670;;;;;;;;;;;;;;;;;;;;;
SD NEGERI TAROI;60401942;;;;;;;;;;;;;;;;;;;;;
TKN PERTIWI BABO;60725759;;;;;;;;;;;;;;;;;;;;;
SD YPPK SAENGGA;60401931;;;;;;;;;;;;;;;;;;;;;
SMAN PERSIAPAN BABO;60403488;;;;;;;;;;;;;;;;;;;;;
SD YPK ONAR;60401937;;;;;;;;;;;;;;;;;;;;;
KB AL-MAGHFIROH;70003901;;;;;;;;;;;;;;;;;;;;;
TK SANTA ANNA;70003352;;;;;;;;;;;;;;;;;;;;;
KB EVI 2 TUBEIG;69938390;;;;;;;;;;;;;;;;;;;;;
SMAS YPPK ST ARNOLDUS YANSEN;60403663;;;;;;;;;;;;;;;;;;;;;
TK YPPK ST YOHANES;60403703;;;;;;;;;;;;;;;;;;;;;
TK YPK ELIM TOMU;70005110;;;;;;;;;;;;;;;;;;;;;
SD YPPK MANIMERI;69980593;;;;;;;;;;;;;;;;;;;;;
PKBM ABDI PAMONG PRAJA;P9934312;;;;;;;;;;;;;;;;;;;;;
SMP SATAP MUYEBA;69787908;;;;;;;;;;;;;;;;;;;;;
TK AISYIAH BUSTANUL ATFAL;60403664;;;;;;;;;;;;;;;;;;;;;
SMP MUHAMMADIYAH;60403653;;;;;;;;;;;;;;;;;;;;;
TK YPPK ST. FRANSISKUS XAVERIUS BABO;70000943;;;;;;;;;;;;;;;;;;;;;
SD INPRES SIBENA I;60401899;;;;;;;;;;;;;;;;;;;;;
TK ST MARIA GORETI;60403692;;;;;;;;;;;;;;;;;;;;;
SD NEGERI KALITAMI;60401940;;;;;;;;;;;;;;;;;;;;;
SD NEGERI SARA;60401941;;;;;;;;;;;;;;;;;;;;;
SD INPRES SUGA;60401910;;;;;;;;;;;;;;;;;;;;;
KB NEGERI HERLINA 1;70008398;;;;;;;;;;;;;;;;;;;;;
TK SAIBMA;60403689;;;;;;;;;;;;;;;;;;;;;
KB EVI IV MANIMERI;69938263;;;;;;;;;;;;;;;;;;;;;
TKS ANGGELA;60725754;;;;;;;;;;;;;;;;;;;;;
SD INPRES SIBENA II;60401900;;;;;;;;;;;;;;;;;;;;;
SMAS SANEWESYEN BINTUNI;60401960;;;;;;;;;;;;;;;;;;;;;
SMA NEGERI KAMUNDAN;69879194;;;;;;;;;;;;;;;;;;;;;
SD NEGERI JAGIRO;60401886;;;;;;;;;;;;;;;;;;;;;
SDN MEYEJGA;60725741;;;;;;;;;;;;;;;;;;;;;
SD YPK WAGURA;60401921;;;;;;;;;;;;;;;;;;;;;
Paud Tunas Kemala Bhayangkari 12;69938377;;;;;;;;;;;;;;;;;;;;;
SMAN Saengga;69879191;;;;;;;;;;;;;;;;;;;;;
SD INPRES HORNA;60403475;;;;;;;;;;;;;;;;;;;;;
SD INPRES SARBE;60401898;;;;;;;;;;;;;;;;;;;;;
KB SIGEMERAI;69966779;;;;;;;;;;;;;;;;;;;;;
SD NEGERI KAITARO;60401939;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI FRUATA FAFURWAR;60403495;;;;;;;;;;;;;;;;;;;;;
SMP YPK SION YAKATI;60403743;;;;;;;;;;;;;;;;;;;;;
TK MAWAR MOGOI BARU;70003738;;;;;;;;;;;;;;;;;;;;;
TK YPPK SANTO PAULUS FRUATA;70044328;;;;;;;;;;;;;;;;;;;;;
KB LESTARI TOMU;70033249;;;;;;;;;;;;;;;;;;;;;
Sanggar Kegiatan Belajar (SKB) Bintuni;P9947985;;;;;;;;;;;;;;;;;;;;;
TK KARTINI;70051243;;;;;;;;;;;;;;;;;;;;;
SMPN TEMBUNI;60403741;;;;;;;;;;;;;;;;;;;;;
SD INPRES SP IV MANIMERI;60401906;;;;;;;;;;;;;;;;;;;;;
TK SIGEMERAI;70015129;;;;;;;;;;;;;;;;;;;;;
SD INPRES KELAPA DUA SP.II;60401903;;;;;;;;;;;;;;;;;;;;;
KB Efata Korano Jaya;69940700;;;;;;;;;;;;;;;;;;;;;
TK HERLINA 4 BEIMES;69991391;;;;;;;;;;;;;;;;;;;;;
SD YPPK SIBENA;60401932;;;;;;;;;;;;;;;;;;;;;
SMPN SIBENA;60401946;;;;;;;;;;;;;;;;;;;;;
TK PGRI SEBYAR REJOSARI;70005246;;;;;;;;;;;;;;;;;;;;;
TK PGRI 2 KAMUNDAN;70002970;;;;;;;;;;;;;;;;;;;;;
TK HOSANA;69964899;;;;;;;;;;;;;;;;;;;;;
KB HOSANA;70035165;;;;;;;;;;;;;;;;;;;;;
TKN PGRI TUHIBA;60725761;;;;;;;;;;;;;;;;;;;;;
TK NEGERI NAGITI;70046860;;;;;;;;;;;;;;;;;;;;;
SD INPRES ARANDAI;60401881;;;;;;;;;;;;;;;;;;;;;
PAUD KB DESTY;69936429;;;;;;;;;;;;;;;;;;;;;
TK YAPIS AL-HIDAYAH SIBENA;60403671;;;;;;;;;;;;;;;;;;;;;
KB NEGERI TUNAS HARAPAN;70014108;;;;;;;;;;;;;;;;;;;;;
SD INPRES KECAP;60401889;;;;;;;;;;;;;;;;;;;;;
SMAS MUHAMMADIYAH BINTUNI;60401959;;;;;;;;;;;;;;;;;;;;;
Kelompok Bermain YPK Pniel;69938375;;;;;;;;;;;;;;;;;;;;;
SMAN TOFOI;60403662;;;;;;;;;;;;;;;;;;;;;
SMP HARMONI SCHOOL TERPADU BINTUNI;70005683;;;;;;;;;;;;;;;;;;;;;
SMA NEGERI 2 BINTUNI;70049979;;;;;;;;;;;;;;;;;;;;;
SMAN MEYADO;60403661;;;;;;;;;;;;;;;;;;;;;
TK KEMALA BHAYANGKARI 07;60403673;;;;;;;;;;;;;;;;;;;;;
TK KHADIJAH MA,ARIF;60403682;;;;;;;;;;;;;;;;;;;;;
SMP SATU ATAP KALITAMI;60403655;;;;;;;;;;;;;;;;;;;;;
SD MUHAMMADIYAH;60403481;;;;;;;;;;;;;;;;;;;;;
TK AISYIYAH BUSTANUL ATFAL;60403669;;;;;;;;;;;;;;;;;;;;;
SD INPRES MERIEB;60401892;;;;;;;;;;;;;;;;;;;;;
TK CENDRAWASIH;60403675;;;;;;;;;;;;;;;;;;;;;
SMP SATU ATAP WERIAGAR;60403658;;;;;;;;;;;;;;;;;;;;;
TK Santa Maria Forada;69937896;;;;;;;;;;;;;;;;;;;;;
TK PERTIWI NEGERI TAROI;69970327;;;;;;;;;;;;;;;;;;;;;
KB MEKAR JAYA;70015783;;;;;;;;;;;;;;;;;;;;;
SD INPRES TOMU;60401911;;;;;;;;;;;;;;;;;;;;;
SMA NEGERI ARANDAY;60403489;;;;;;;;;;;;;;;;;;;;;
SD INPRES MUYEBA;60401896;;;;;;;;;;;;;;;;;;;;;
SD YPPK TUHIBA;60401934;;;;;;;;;;;;;;;;;;;;;
SD YPK TUGERAMA;60401920;;;;;;;;;;;;;;;;;;;;;
KB Sta. CHRISTIFORA MANIMERI;70001073;;;;;;;;;;;;;;;;;;;;;
KB Aisyiyah Al-Baroqah;69937900;;;;;;;;;;;;;;;;;;;;;
PAUD/KB BINA KASIH;69940433;;;;;;;;;;;;;;;;;;;;;
TK SEMAI BENIH BANGSA;60403690;;;;;;;;;;;;;;;;;;;;;
TK HERLINA 2;70013414;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI KURI SARBE;60403493;;;;;;;;;;;;;;;;;;;;;
KB YPK VIADOLOROSA;69987739;;;;;;;;;;;;;;;;;;;;;
SD INPRES STENGKOL I TEMBUNI;60401908;;;;;;;;;;;;;;;;;;;;;
TKN TUTWURI HANDAYANI;60725751;;;;;;;;;;;;;;;;;;;;;
TK Santa Katarina Labore Tofoi;69937912;;;;;;;;;;;;;;;;;;;;;
SD YPPK SANTO YOHANES;60401925;;;;;;;;;;;;;;;;;;;;;
TK AISYIYAH BUSTANUL ATHFAL TOFOI;60403665;;;;;;;;;;;;;;;;;;;;;
PAUD KB AISYIYAH;69937321;;;;;;;;;;;;;;;;;;;;;
SD INPRES SP.III MANIMERI;60401905;;;;;;;;;;;;;;;;;;;;;
SMP Persiapan Negeri Igomu;69965803;;;;;;;;;;;;;;;;;;;;;
PKBM KASIH RUMBAI KOTEKA KABUPATEN TELUK BINTUNI;P9998588;;;;;;;;;;;;;;;;;;;;;
TK Merij Tuasay;69940424;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI 2 BINTUNI;60401955;;;;;;;;;;;;;;;;;;;;;
SMP PERINTIS STENGKOL III;60401949;;;;;;;;;;;;;;;;;;;;;
SD YPPK St AGUSTINUS YARU;60403651;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI KAITARO;60403924;;;;;;;;;;;;;;;;;;;;;
SD YPK BETHEL IDOOR;60401917;;;;;;;;;;;;;;;;;;;;;
SD NEGERI WARGANUSA;60401943;;;;;;;;;;;;;;;;;;;;;
SMP YPK BETHEL IDOOR;60401952;;;;;;;;;;;;;;;;;;;;;
PKBM PEDULI BINA KASIH;P9997673;;;;;;;;;;;;;;;;;;;;;
TK ATIBO MANIMERI;70001041;;;;;;;;;;;;;;;;;;;;;
KB YPK EBENHAEZER;70013722;;;;;;;;;;;;;;;;;;;;;
SD YPK RAFIDIN KM. 7 MUTURI;60725739;;;;;;;;;;;;;;;;;;;;;
SD NUU WAAR;69991808;;;;;;;;;;;;;;;;;;;;;
TK FLAMBOYAN;70005109;;;;;;;;;;;;;;;;;;;;;
SD YPPK MIYOM;60403652;;;;;;;;;;;;;;;;;;;;;
SD INPRES SP.V MANIMERI;60401907;;;;;;;;;;;;;;;;;;;;;
SD YPK MERDEY;60401918;;;;;;;;;;;;;;;;;;;;;
SD NEGERI OROSOMNA;70053704;;;;;;;;;;;;;;;;;;;;;
SD YPK BOTAY;70056327;;;;;;;;;;;;;;;;;;;;;
KB SANTA MARIA BINTUNI;70012827;;;;;;;;;;;;;;;;;;;;;
SMA HARMONI SCHOOL TERPADU BINTUNI;70025727;;;;;;;;;;;;;;;;;;;;;
KB MAITEVA;70038044;;;;;;;;;;;;;;;;;;;;;
KB YPK SION SIBENA;70033666;;;;;;;;;;;;;;;;;;;;;
TK BETLEHEM;70051974;;;;;;;;;;;;;;;;;;;;;
SD NEGERI KAWAF;70050994;;;;;;;;;;;;;;;;;;;;;
TK YPK SION SIBENA;70029904;;;;;;;;;;;;;;;;;;;;;
TK MEKAR SARI;70035164;;;;;;;;;;;;;;;;;;;;;
SD NEGERI FURERE;70053031;;;;;;;;;;;;;;;;;;;;;
TK PGRI YAKATI;70002917;;;;;;;;;;;;;;;;;;;;;
TK KARTINI;70034171;;;;;;;;;;;;;;;;;;;;;
TK NEGERI MOSUM;70050955;;;;;;;;;;;;;;;;;;;;;
TK YPPK Sta. MARIA MERDEY;70044987;;;;;;;;;;;;;;;;;;;;;
TK YPK BATANIA YENSEI;70044349;;;;;;;;;;;;;;;;;;;;;
PKBM SUMURI PERMAI;P9998011;;;;;;;;;;;;;;;;;;;;;
KB YPPK SANTO HERONIMUS WAME;70043571;;;;;;;;;;;;;;;;;;;;;
PKBM LUMEN GENTIUM;P9998478;;;;;;;;;;;;;;;;;;;;;
SD NEGERI ANEJERO;70044425;;;;;;;;;;;;;;;;;;;;;
KB SANTA MARIA YARU;70046859;;;;;;;;;;;;;;;;;;;;;
TK AMOTE TORE;70051343;;;;;;;;;;;;;;;;;;;;;
TK PGRI MAMURANU;70035905;;;;;;;;;;;;;;;;;;;;;
KB YPK MARANATHA KAMPUNG KOHOIN;70037556;;;;;;;;;;;;;;;;;;;;;
